#春秋音義所音專有名詞中古音轉寫
word	middle_chinese_baxter_translation
屈到	屈<kjut>
屈蕩	屈<kjut>
屈建	屈<kjut>
屈狐庸	屈<kjut>狐<hu>
屈蕩	屈<kjut>
屈申	屈<kjut>
屏季	屏<beng>
趙屏	屏<beng>
屏季	屏<beng>
屠擊	屠<du>擊<kek,kejH>
屯留	屯<dwon,dzywin>
岐陽	岐<gje>
岐山	岐<gje>
鵲岸	岸<nganH>
岻箕	岻<drij>
坻箕	岻<drij>
黃崖	崖<ngea>
方嶽	嶽<ngaewk>
東嶽岱	嶽<ngaewk>岱<dojH>
西嶽華	嶽<ngaewk>華<hwae,hwaeH>
南嶽衡	嶽<ngaewk>衡<haeng>
北嶽恆	嶽<ngaewk>恆<hong>
鄫世子巫	巫<mju>
成差	差<tsrhea,tsrhje>
庾公差	差<tsrhea>,tsrhje>
己氏	己<kiX>
己姓	己<kiX,ziX>
戴己	己<kiX,ziX>
聲己	己<kiX,ziX>
巳氏<42482-ziX>	巳<ziX>
巳姓	巳<kiX,ziX>
巾車	巾<kin,kinH>
向帶	帶<tajH>
姑幕縣	幕<mak>
宮廏尹子皙	廏<kjuwX>
宮廏尹棄疾	廏<kjuwH>
王子伯廖	廖<lew>
鄧廖	廖<lew>
廚武子	廚<drju>
廣車	廣<kwangH>
貳廣	廣<kwangH>
廣車	廣<kwangH>
左廣	廣<kwangH>
廧咎如	廧<dzjang>咎<kaw>
寺人惠廧伊戾	廧<dzjang>戾<lejH>
嬪廧	廧<dzjang>
東郡廩丘縣	廩<limX>
東郡廩丘縣	廩<limX>
廬戢黎	廬<ljo,lu>戢<tsrip>
襄陽中廬縣	廬<ljo,lu>
廬戢黎	廬<ljo,lu>戢<tsrip>
欒京廬	廬<lu,ljo>
曹伯廬	廬<lu>
廬江	廬<ljo>
弁糾	弁<bjenH>糾<kjiwX>
弁邑	弁<bjenH>
弁邑	弁<bjenH>
弇中	弇<’jemX,’jem>
弋陽	弋<yik>
弗翰胡	弗<pjut>翰<han>
薳啓彊	彊<gjang,kjang>
薳啓彊	彊<gjang,kjang>
公孫彊	彊<gjang>
彘季	彘<drjejH>
彘裘	彘<drjejH>
御叔	御<ngjoX,ngjoH>
華御事	御<ngjoX>
復陶	復<bjuwk,pjuwk>
北徵	徵<tring,triX>
師悝	悝<khwoj>
成愆	愆<khjen>
汲郡林慮縣	慮<ljo>
秦小子憖	憖<nginH>
公子戌	戌<swit>
皇戌	戌<swit>
穿封戌	戌<swit>
公子成	成<dzyeng>
宋世子成	成<dzyeng>
公子成	成<dzyeng>
戲童	戲<xje>
伯戲	戲<xje>
戾丘	戾<lejH>
有扈	扈<huX>
扈亭	扈<huX>
東海承縣	承<tsyingH,dzying,tsyingX>
右拒	拒<kjuX>
左拒	拒<kjuX>
前拒	拒<kjuX>
步招	招<dzyew>
招濩	招<dzyew>濩<huH,hwak>
陳公子招	招<dzyew>
趙括	括<kwat>
北弓括	括<kwat>
拱璧	拱<kjowngX,kjowng>
子捷	捷<dzjep>
鄭伯捷	捷<dzjep>
東萊掖縣	掖<yek>
提彌明	提<dzye>彌<mjie>
沈子揖初	揖<dzip,’jip>
王孫揮	揮<xjw+j>
公孫揮	揮<xjw+j>
傅摯	摯<tsyijH>
若敖	敖<ngaw>
斂盂	斂<ljem,ljemX>盂<hju>
斐豹	斐<pj+j,phj+jX>
斐林	斐<phj+jX>
羊斟	斟<tsyim>
斟亭	斟<tsyim>
斟灌	斟<tsyim>
斟尋氏	斟<tsyim>
計斤城	斤<ki,gi,ki>
斷道	斷<dwanX,twanX>
高平方與縣	方<bjang>與<yuH>
趙旃	旃<tsyen>
旃然	旃<tsyen>
旄車	旄<maw>
棠无咎	无<mju>咎<gjuwX>
小旻	旻<min>
昧	昧<mwojH>
不更女父	更<kaeng>女<nyoX>
鄭公子曼滿	曼<mjonH>
郭最	最<tswajH>
會稽	會<kwajH>稽<kej>
公子朝	朝<trjew>
蔡朝	朝<trjew>
朝郟	朝<trjew>郟<keap>
安定朝那縣	朝<trjew,trju>那<na>
宋莊朝	朝<trjew>
侯朝	朝<trjew,drjew>
蔡大師子朝	朝<trjew>
濟南東朝陽縣	朝<trjew,drjew>
史朝	朝<trjew>
公子朝	朝<trjew>
繞朝	朝<trjew>
王札子	札<tsreat,tsrit>
王子札	札<tsreat,tsrit>
季札	札<tsreat>
季札	札<tsreat>
杵臼	杵<tsyhoX>臼<gjuwX>
崔杼	杼<drjoX>
崔杼	杼<drjoX>
后杼	杼<drjoX>
齊崔杼	杼<drjoX>
析文子	析<sek>
析歸父	析<sek>
析公	析<sek>
玄枵	枵<xjew>
柤	柤<tsrae>
柯陵	柯<ka>
祝柯	柯<ka>
柳棼	柳<ljuwX>棼<bjun>
寺人柳	柳<ljuwX>
侍人柳	柳<ljuwX>
北弓栝	栝<kwat>
校正	校<haewH>
校正	校<haewH>
鄉校	校<haewH>
楚公子格	格<kaek>
桔柣	桔<het>柣<det>
梓慎	梓<tsiX>
梗陽	梗<kaengX>
棐林	棐<phj+jX>
棐林	棐<phj+jX>
城棣	棣<dejH,dojH>
棣城	棣<dejH,dojH>
常棣	棣<dejH>
常棣	棣<dejH>
棫林	棫<hwik,hjuwk,’juwk>
棫林	棫<hwik,hjuwk>
伯棼	棼<bjun>
先榖	榖<huwk>
晉原榖	榖<huwk>
韓樂	樂<lak>
魏郡長樂縣	樂<lak>
陽平樂縣	樂<lak>
樂安壽光縣	樂<lak>
公子樂	樂<ngaewk,lak>
長樗	樗<trhjo>
楚公子橐師	橐<thak>
公子橐師	橐<thak>
檮戭	檮<drjuw,duw>戭<yenX,yinH>
檮杌	檮<daw>杌<ngwot>
櫟亭	櫟<lek,syak>
輔櫟	櫟<lek,lak>
欑函	欑<dzwan>函<heam>
公子欣時	欣<xj+n>
公子款時	款<xj+n>
歂犬	歂<dzywen>
周歂	歂<dzywen>
周甘歜	歜<tsyhowk>
衛甯殖	殖<dzyik>
杞殖	殖<dzyik>
大殿	殿<tenH>
皋比	比<bjij>
晏氂	氂<li,loj>
東海氶縣	氶<tsyingH,dzying,tsyingX>
氾水	氾<bjom>
東氾	氾<bjom>
氾城	氾<bjom,bjom>
氾南	氾<bjom>
汋陂	汋<tshjak,tsyak,dzyak>陂<pje>
汋陵	汋<tsya,tshjak,dzyak>
東汎	汎<bjom>
繁汙	汙<’ju>
雒汭	汭<nywejH>
新汲縣	汲<kip>
汶陽田	汶<mjunH>
汾水	汾<bjun>
汾川	汾<bjun>
沂水	沂<ngj+j>
沈子	沈<syimX>
新城沶鄉縣	沶<zyijX,zyijH,drijH,lejH>
清沸魋	沸<pj+jH>魋<dwoj>
杜泄	泄<sjet>
薳泄	泄<sjet>
泠敦	泠<leng>
泠人	泠<leng>
子盂	泮
泰誓	泰<thajH>
新汲縣治曲洧城	洧<hwijX>治<driH>
洧水	洧<hwijX>
洧津	洧<hwijX>
洩冶	洩<sjet>冶<yaeX>
洹水	洹<hwan,hong,hjwon>
寒浞	浞<dzraewk,dzraewk>
庸浦	浦<phuX>
荒浦	浦<phuX>
消竈	消<srjaengX,sreangX,sjengX,sjew>
涑川	涑<sjowk,suwk>
涑水	涑<sjowk,suwk>
黃涯	涯<ngea>
淇澳	淇<gi>澳<’juwk>
淳于	淳<dzywin>
淶鄉	淶<tshit>
士渥濁	渥<’aewk>
渻竈	渻<srjaengX,sreangX,sjengX,sjew>
渾敦	渾<hwonX>敦<dwonX>
陸渾	渾<hwon>
陸渾	渾<hwon>
河南陸渾縣	渾<hwon,hwonH>
渾罕	渾<hwon>罕<xanX>
湛水	湛<dzyim,drim,dreamX>
湛	湛<dzyim,drim,dreamX><pjonX,baenX>
湛露	湛<dreamX>
湨梁	湨<kwek,kwek>
湨水	湨<kwek,kwek>
王湫	湫<tsjewX,tsjewX>
王湫	湫<tsjewX,tsjewX>
石溪	溪<khej>
狐溱	溱<tsrin>
卻溱	溱<tsrin>
杜溷羅	溷<hwon,hwonX>
滍水	滍<drijX>
滑國	滑<hweat>
皋滸	滸<xuX>
漆鄉	漆<tshit>
漳水	漳<tsyang>
漷水	漷<xwaek,kwak,xwaek,khwak,khwaek>
潁水	潁<ywengX>
潁水	潁<ywengX>
齊侯潘	潘<phan>
赤狄潞氏	潞<luH>
潞子嬰兒	潞<luH>
潼關	潼<duwng>
澠池	澠<mjienX,mjinX>
澮水	澮<kwajH>
澶淵	澶<dzyen>
澶淵	澶<dzyen,drjen>
澶水	澶<dzyen,drjen>
濟隧	濟<tsejX>隧<zwijH>
魯濟	濟<tsejX>
濟澤	濟<tsejX>
城濮	濮<puwk>
百濮	濮<puwk>
濮夷	濮<puwk>
城濮	濮<puwk>
灌亭	灌<kwanH>
灑藍	灑<sreaX,srjeX>藍<lam>
烝野	烝<tsying>
棠無咎	無<mju>咎<gjuwX>
仲熊	熊<hjuwng>
熊羆	熊<hjuwng>羆<pje>
熒澤	熒<hweng>
熒陽縣	熒<hweng>
熒廷	熒<hweng>廷<deng>
熒庭	熒<hweng>庭<deng>
子熙	熙<xi,yi>
公子熙	熙<xi,yi>
燉煌	燉<dwon>煌<hwang>
庭燎	燎<ljewH,ljew,ljewH>
北燕伯	燕<’en>
北燕	燕<’en>
蔡公子燮	燮<sep>
公子燮	燮<sep>
楚公子燮	燮<sep>
黃父	父<pjuX>
五父之衢	父<pjuX>衢<gju>
五父衢	父<pjuX>衢<gju>
晏父戎	父<pjuX>
譙國城父縣	父<pjuX>
叔牂	牂<tsang>
長牂	牂<tsang>
寺人惠牆伊戾	牆<dzjang>戾<lejH>
牟縣	牟<muw>
王子牟	牟<muw>
牟夷	牟<muw>
牟婁	牟<muw>
蟲牢	牢<law>
牢成	牢<law>
牧伯	牧<mjuwk>
邾子牼	牼<kheang,heang>
伯舟犁	犁<lej>
莒犂比公	犁<lij,lej>比<bjij>
師祁犂	犁<lej,lij>
莒犂比公	犁<lij,lej>比<bjij>
郤犨	犨<tsyhuw>
南陽犨縣	犨<tsyhuw>
魏犫子	犫<tsyhuw>
郤犫	犫<tsyhuw>
南陽犫縣	犫<tsyhuw>
犫縣	犫<tsyhuw>
狂狡	狡<kaewX>
唐狡	狡<kaewX>
史狡	狡<kaewX>
狸脤	狸<li>脤<dzyinX>
狼蘧疏	狼<lang>蘧<gjo>
猗氏	猗<’je>
晉侯獳	獳<nuw>
侯獳	獳<nuw>
邾子貜且	玃<kjwak,kjwaek>且<tsjo>
鄭公子班	班<paen>
瑣澤	瑣<swaX>
瑣候庭	瑣<swaX>
璅澤	璅<swaX>
瓜衍	瓜<kwae>衍<yenX>
瓜州	瓜<kwae>
瓠丘	瓠<hu,huH>
瓠葉	瓠<huH>
邾畀我	畀<pjijH>
西河界休縣	界<keajH>休<xjiw>
平畤	畤<tsyiX,dzyiX>
魯國番縣	番<bje,pjon>
世子痤	痤<dzwa>
石癸	癸<kjwijX>
夷皋	皋<kaw>
巫皋	皋<kaw>
子皙	皙<sek>
子皙	皙<sek>
右盂	盂<hju>
左盂	盂<hju>
石盂	盂<hju>
盟津	盟<maengH>
盤庚	盤<ban>
曹伯盧	盧<lu>
熊相宜僚	相<sjangH>僚<lew>
甯相	相<sjangH>
甯相	相<sjangH>
魏相	相<sjangH>
子相	相<sjangH>
相土	相<sjangH>
趙盾	盾<dwonX>
欒盾	盾<dwonX>
鄭游眅	眅<phaenX>
鄭伯睔	睔<?,hwonX>
睢陽	睢<swij>
督揚	督<towk>
督戎	督<towk>
瞀胡	瞀<muwH,muw>
祁瞞	瞞<man>
狼瞫	瞫<tsyhimX,syimX>
鱗矔	矔<kwanH>
鱗矔	矔<kwanH>
鱗矔	矔<kwanH>
矞似	矞<ywit>
知莊子	知<trjeH>
知季	知<trjeH>
知罃	知<trjeH>罃<’eang>
知伯	知<trjeH>
知朔	知<trjeH>
知起	知<trjeH>
知悼子	知<trjeH>
知氏	知<trjeH>
知盈	知<trjeH>
右矩	矩<kjuX>
